STATION,DATE,TMAX,TMIN
USW00094728,11/15/14,42,33
USW00094728,11/16/14,45,35
USW00094728,11/17/14,52,40
USW00094728,11/18/14,45,24
USW00094728,11/19/14,36,22
USW00094728,11/20/14,45,31
USW00094728,11/21/14,37,28
USW00094728,11/22/14,44,28
USW00094728,11/23/14,57,43
USW00094728,11/24/14,69,53
USW00094728,11/25/14,68,51
USW00094728,11/26/14,51,34
USW00094728,11/27/14,38,34
USW00094728,11/28/14,37,29
USW00094728,11/29/14,45,27
USW00094728,11/30/14,55,45
USW00094728,12/1/14,65,42
USW00094728,12/2/14,43,35
USW00094728,12/3/14,46,41
USW00094728,12/4/14,45,37
USW00094728,12/5/14,44,34
USW00094728,12/6/14,50,39
USW00094728,12/7/14,42,30
USW00094728,12/8/14,37,24
USW00094728,12/9/14,42,36
USW00094728,12/10/14,40,32
USW00094728,12/11/14,38,31
USW00094728,12/12/14,38,32
USW00094728,12/13/14,44,34
USW00094728,12/14/14,46,38
USW00094728,12/15/14,48,37
USW00094728,12/16/14,49,38
USW00094728,12/17/14,54,42
USW00094728,12/18/14,42,37
USW00094728,12/19/14,38,31
USW00094728,12/20/14,33,30
USW00094728,12/21/14,36,31
USW00094728,12/22/14,44,35
USW00094728,12/23/14,46,43
USW00094728,12/24/14,58,44
USW00094728,12/25/14,62,44
USW00094728,12/26/14,50,40
USW00094728,12/27/14,55,44
USW00094728,12/28/14,54,43
USW00094728,12/29/14,44,34
USW00094728,12/30/14,34,28
USW00094728,12/31/14,32,27
USW00094728,1/1/15,39,27
USW00094728,1/2/15,42,35
USW00094728,1/3/15,42,33
USW00094728,1/4/15,56,41
USW00094728,1/5/15,49,21
USW00094728,1/6/15,22,19
USW00094728,1/7/15,23,9
USW00094728,1/8/15,21,8
USW00094728,1/9/15,33,19
USW00094728,1/10/15,23,16
USW00094728,1/11/15,37,18
USW00094728,1/12/15,39,35
USW00094728,1/13/15,36,17
USW00094728,1/14/15,32,16
USW00094728,1/15/15,35,25
USW00094728,1/16/15,43,20
USW00094728,1/17/15,32,17
USW00094728,1/18/15,42,31
USW00094728,1/19/15,42,36
USW00094728,1/20/15,40,32
USW00094728,1/21/15,36,25
USW00094728,1/22/15,40,31
USW00094728,1/23/15,39,28
USW00094728,1/24/15,39,33
USW00094728,1/25/15,42,31
USW00094728,1/26/15,31,22
USW00094728,1/27/15,30,20
USW00094728,1/28/15,34,16
USW00094728,1/29/15,36,19
USW00094728,1/30/15,38,19
USW00094728,1/31/15,26,13
USW00094728,2/1/15,36,20
USW00094728,2/2/15,34,14
USW00094728,2/3/15,26,13
USW00094728,2/4/15,43,24
USW00094728,2/5/15,42,14
USW00094728,2/6/15,27,12
USW00094728,2/7/15,40,25
USW00094728,2/8/15,37,29
USW00094728,2/9/15,29,25
USW00094728,2/10/15,40,26
USW00094728,2/11/15,34,22
USW00094728,2/12/15,40,16
USW00094728,2/13/15,21,8
USW00094728,2/14/15,32,16
USW00094728,2/15/15,25,4
USW00094728,2/16/15,21,3
USW00094728,2/17/15,27,14
USW00094728,2/18/15,33,19
USW00094728,2/19/15,27,8
USW00094728,2/20/15,19,2
USW00094728,2/21/15,32,13
USW00094728,2/22/15,43,32
